id	y	x	mean_alpha
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
1	-126.3833335	52.4	1.760116
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
2	-125.23333345	49.837083425	1.354850
