id	y	x	mean_alpha
88	47.4	0.683333	1.004286
108	48.5167	-4.06667	1.006336
139	48.5167	-4.06667	1.006336
159	47.35	3.93333	1.004286
265	44.65	-1.16667	1.004180
350	46.6667	4.11667	1.004286
351	46.6667	4.11667	1.004286
991	55.3833	14.05	1.012087
992	55.3833	14.05	1.012087
997	55.3833	14.05	1.012087
1002	55.3833	14.05	1.012087
1006	55.3833	14.05	1.012087
1061	55.7167	14.1333	1.012087
1062	55.7167	14.1333	1.012087
1063	55.7167	14.1333	1.012087
1066	55.7167	14.1333	1.012087
1070	55.7167	14.1333	1.012087
4779	50.4	-4.9	1.005448
4807	50.4	-4.9	1.005448
4826	50.4	-4.9	1.005448
4840	50.4	-4.9	1.005448
4857	50.3	-4.9	1.005448
4884	50.3	-4.9	1.005448
4900	50.3	-4.8	1.005448
4939	50.4	-4.7	1.005448
4958	50.5	-4.5	1.005448
5023	51.3	0.5	1.004602
5104	51.3	0.5	1.004602
5151	52.2	-1.7	1.005448
5165	51.3	0.4	1.004602
5210	51.2	0.3	1.004602
5236	51.2	0.4	1.004602
5249	51.2	0.3	1.004602
5253	51.1	0.6	1.004602
5276	51.3	1.1	1.004602
5279	51.3	1.1	1.004602
5349	51.1	0.4	1.004602
5353	54.5	-3	1.005448
5395	54.4	-3	1.005448
5486	54.6	-3.3	1.005448
5577	54.7	-3.4	1.005448
5644	54.4	-2.9	1.005448
5651	54.4	-2.9	1.005448
5717	54.6	-3.2	1.005448
5718	57	-3.4	1.004911
5720	53.3	-1.6	1.005448
5726	51.3	1.1	1.004602
5741	56.6	-4.1	1.004911
5748	56	-4.4	1.004911
5757	54.6	-2.3	1.005448
5768	54.1	-1.5	1.005448
5772	54.1	-2.3	1.005448
5776	52.9	-1.3	1.005448
5779	51	-3.1	1.005448
5784	56.4	-5.2	1.006806
5798	53.1	-3.3	1.005448
5800	57.4	-5.5	1.006806
5811	52.9	-3.1	1.005448
5822	56.7333	-5.98333	1.006806
5836	55.86	13.51	1.012087
5865	55.76	14.12	1.012087
5867	55.76	14.12	1.012087
6019	56.06	14.29	1.012087
6020	56.06	14.29	1.012087
6021	56.06	14.29	1.012087
6022	56.06	14.29	1.012087
6023	55.7509	13.3712	1.012087
6024	55.7509	13.3712	1.012087
6034	56.1	13.74	1.012087
6035	56.1	13.74	1.012087
6036	56.1	13.74	1.012087
6038	56.1	13.74	1.012087
6039	56.1	13.74	1.012087
6040	55.66	13.4	1.012087
6041	56.0328	14.775	1.012087
6042	56.09	13.9	1.012087
6076	55.6942	13.4504	1.012087
6077	55.6942	13.4504	1.012087
6085	55.7097	13.2145	1.012087
6086	58.9	11.2	1.012087
6090	55.6525	13.2197	1.012087
6091	55.6525	13.215	1.012087
6092	55.6514	13.2233	1.012087
6094	55.6494	13.2147	1.012087
6095	55.6486	13.2161	1.012087
6096	55.6472	13.2225	1.012087
6097	55.6481	13.2264	1.012087
6098	55.6561	13.2178	1.012087
6099	55.6575	13.2386	1.012087
6100	55.6	13.2	1.012087
6101	55.6	13.2	1.012087
6102	55.6	13.2	1.012087
6104	55.7	13.2	1.012087
6105	55.7967	13.1211	1.012087
6106	55.7931	13.1186	1.012087
6107	55.7942	13.1222	1.012087
6108	55.7989	13.1206	1.012087
6109	55.7936	13.1233	1.012087
6111	55.7989	13.1219	1.012087
6112	55.7967	13.1044	1.012087
6113	55.8078	13.1028	1.012087
6114	55.8097	13.1342	1.012087
6115	55.8	13.1367	1.012087
6118	55.7	13.2	1.012087
6119	55.7	13.2	1.012087
6122	55.8364	13.3075	1.012087
6123	55.8369	13.3033	1.012087
6124	55.8378	13.3092	1.012087
6125	55.8403	13.3106	1.012087
6126	55.8411	13.3047	1.012087
6128	55.8397	13.2881	1.012087
6131	55.8369	13.3181	1.012087
6132	55.8386	13.3186	1.012087
6133	55.8364	13.2906	1.012087
6134	55.8383	13.2906	1.012087
6136	55.9336	13.5519	1.012087
6137	55.9419	13.5603	1.012087
6138	55.9403	13.5511	1.012087
6140	55.9392	13.5539	1.012087
6141	55.9414	13.5542	1.012087
6142	55.9428	13.5558	1.012087
6145	55.9497	13.5533	1.012087
6148	55.9319	13.5508	1.012087
6149	55.9281	13.5481	1.012087
6150	55.9261	13.5319	1.012087
6151	55.6528	13.2244	1.012087
6188	55.7683	14.1386	1.012087
6189	55.7686	14.1383	1.012087
6191	55.7689	14.1375	1.012087
6192	55.7692	14.1369	1.012087
6193	55.7694	14.1347	1.012087
6194	55.7706	14.1342	1.012087
6195	55.7708	14.1342	1.012087
6198	55.7708	14.1331	1.012087
6201	55.7719	14.1211	1.012087
6202	55.7717	14.1206	1.012087
6203	55.7714	14.1208	1.012087
6242	55.7	13.2	1.012087
6243	56.27373	13.90045	1.012087
6252	55.5796	14.3336	1.012087
6255	55.5796	14.334	1.012087
6258	55.5796	14.3336	1.012087
6268	55.5796	14.3336	1.012087
6276	55.5796	14.3336	1.012087
6284	55.5796	14.3336	1.012087
6413	56.06	13.97	1.012087
6680	51.85	6.4333	1.004583
6897	45	1.3	1.004286
6898	51.2167	4.4	1.004602
6907	51.4083	-0.6383	1.005448
6908	51.4083	-0.6383	1.005448
6915	50.3	6.3	1.004583
6919	50.3	8	1.004583
6920	51.5338	9.9355	1.004583
6922	50.3	8	1.004583
6923	51.4083	-0.6383	1.005448
6924	51.4083	-0.6383	1.005448
6932	47.984	10.8719	1.003520
6933	41.59	2.49	1.003768
6940	50.3	8.3	1.004583
6943	51.4083	-0.6383	1.005448
6944	51.4083	-0.6383	1.005448
6945	52.24	4.45	1.004602
6958	46	3.3	1.004286
6959	48.5	-1.41	1.006336
6960	48.5	-1.41	1.006336
6961	38.3333	-3.53333	1.004036
6966	51.4083	-0.6383	1.005448
6967	51.4083	-0.6383	1.005448
6970	41.7194	2.93056	1.003768
6971	41.7194	2.93056	1.003768
6973	56.0648	13.9707	1.012087
6974	56.0648	13.9707	1.012087
6975	48.3	14.45	1.003520
6976	48.3	14.45	1.003520
6979	47.25	8.26	1.004349
6982	52.3	9.3	1.004583
6986	57.1539	-2.2207	1.004911
6987	48.0683	7.62551	1.004349
6989	54.8	-2.4333	1.005448
6990	53.448	5.73	1.004583
6992	50.3	5.3	1.004583
6997	51.8333	5.5833	1.004583
7000	50.9167	9.57073	1.004583
7002	51.3333	6.1	1.004583
7003	47.5	7.5	1.004349
7008	52	5.675	1.004583
7013	52.4584	13.287	1.004074
7014	56.5459	-4.79821	1.004911
7025	44.5041	11.3396	1.004319
7026	54.4	-3.2667	1.005448
7028	49.5166	9.3166	1.004349
7031	50.0167	8.6667	1.004583
7036	50.5	9.5	1.004583
7058	54.1	-6.2	0.000000
7061	53.2699	-1.64293	1.005448
