id	y	x	mean_alpha
88	47.4	0.683333	1.009429
108	48.5167	-4.06667	1.009429
139	48.5167	-4.06667	1.009429
159	47.35	3.93333	0.929935
265	44.65	-1.16667	1.009429
350	46.6667	4.11667	0.929935
351	46.6667	4.11667	0.929935
403	49.3667	16.2667	1.004461
410	49.4211	16.3497	1.004461
424	49.4112	16.2815	1.004461
428	49.403	16.232	1.004461
430	47	15.5	1.004461
763	42.3	74.3667	1.005068
765	42.1833	73.4	1.005068
766	42.5833	73.6333	1.005068
768	42.8	76.35	0.000000
772	37.35	72.4667	0.000000
991	55.3833	14.05	0.685136
992	55.3833	14.05	0.685136
997	55.3833	14.05	0.685136
1002	55.3833	14.05	0.685136
1006	55.3833	14.05	0.685136
1061	55.7167	14.1333	0.685136
1062	55.7167	14.1333	0.685136
1063	55.7167	14.1333	0.685136
1066	55.7167	14.1333	0.685136
1070	55.7167	14.1333	0.685136
1158	56.7	16.5167	1.004824
1166	56.7	16.5167	1.004824
1254	59.4333	17.0167	1.004824
1257	59.4333	17.0167	1.004824
1313	59.5667	16.8667	1.004824
1317	59.5667	16.8667	1.004824
4779	50.4	-4.9	1.005388
4807	50.4	-4.9	1.005388
4826	50.4	-4.9	1.005388
4840	50.4	-4.9	1.005388
4857	50.3	-4.9	1.005388
4884	50.3	-4.9	1.005388
4900	50.3	-4.8	1.005388
4939	50.4	-4.7	1.005388
4958	50.5	-4.5	1.005388
5023	51.3	0.5	1.005388
5104	51.3	0.5	1.005388
5151	52.2	-1.7	1.005388
5165	51.3	0.4	1.005388
5210	51.2	0.3	1.005388
5236	51.2	0.4	1.005388
5249	51.2	0.3	1.005388
5253	51.1	0.6	1.005388
5276	51.3	1.1	1.005388
5279	51.3	1.1	1.005388
5349	51.1	0.4	1.005388
5353	54.5	-3	1.005388
5395	54.4	-3	1.005388
5486	54.6	-3.3	1.005388
5577	54.7	-3.4	1.005388
5644	54.4	-2.9	1.005388
5651	54.4	-2.9	1.005388
5717	54.6	-3.2	1.005388
5718	57	-3.4	1.005388
5720	53.3	-1.6	1.005388
5726	51.3	1.1	1.005388
5741	56.6	-4.1	1.005388
5748	56	-4.4	1.005388
5757	54.6	-2.3	1.005388
5768	54.1	-1.5	1.005388
5772	54.1	-2.3	1.005388
5776	52.9	-1.3	1.005388
5779	51	-3.1	1.005388
5784	56.4	-5.2	1.005388
5798	53.1	-3.3	1.005388
5800	57.4	-5.5	1.005388
5811	52.9	-3.1	1.005388
5822	56.7333	-5.98333	1.005388
5830	56.3333	15.9667	1.004824
5831	56.3333	15.9667	1.004824
5832	56.3333	15.9667	1.004824
5836	55.86	13.51	0.685136
5837	49.4013	16.2326	1.004461
5865	55.76	14.12	0.685136
5867	55.76	14.12	0.685136
5874	49.4112	16.2815	1.004461
5890	49.4112	16.2815	1.004461
5893	49.4112	16.2815	1.004461
5907	49.4112	16.2815	1.004461
5921	49.4112	16.2815	1.004461
5950	49.4112	16.2815	1.004461
5984	49.4112	16.2815	1.004461
5993	49.4112	16.2815	1.004461
6008	49.1	16.2	1.004461
6019	56.06	14.29	0.685136
6020	56.06	14.29	0.685136
6021	56.06	14.29	0.685136
6022	56.06	14.29	0.685136
6023	55.7509	13.3712	0.685136
6024	55.7509	13.3712	0.685136
6034	56.1	13.74	0.685136
6035	56.1	13.74	0.685136
6036	56.1	13.74	0.685136
6038	56.1	13.74	0.685136
6039	56.1	13.74	0.685136
6040	55.66	13.4	0.685136
6041	56.0328	14.775	1.004824
6042	56.09	13.9	0.685136
6073	56.1481	15.8155	1.004824
6074	56.4573	16.1308	1.004824
6076	55.6942	13.4504	0.685136
6077	55.6942	13.4504	0.685136
6085	55.7097	13.2145	0.685136
6086	58.9	11.2	0.685136
6087	56.4666	16.1284	1.004824
6088	56.4666	16.1284	1.004824
6090	55.6525	13.2197	0.685136
6091	55.6525	13.215	0.685136
6092	55.6514	13.2233	0.685136
6094	55.6494	13.2147	0.685136
6095	55.6486	13.2161	0.685136
6096	55.6472	13.2225	0.685136
6097	55.6481	13.2264	0.685136
6098	55.6561	13.2178	0.685136
6099	55.6575	13.2386	0.685136
6100	55.6	13.2	0.685136
6101	55.6	13.2	0.685136
6102	55.6	13.2	0.685136
6104	55.7	13.2	0.685136
6105	55.7967	13.1211	0.685136
6106	55.7931	13.1186	0.685136
6107	55.7942	13.1222	0.685136
6108	55.7989	13.1206	0.685136
6109	55.7936	13.1233	0.685136
6111	55.7989	13.1219	0.685136
6112	55.7967	13.1044	0.685136
6113	55.8078	13.1028	0.685136
6114	55.8097	13.1342	0.685136
6115	55.8	13.1367	0.685136
6118	55.7	13.2	0.685136
6119	55.7	13.2	0.685136
6122	55.8364	13.3075	0.685136
6123	55.8369	13.3033	0.685136
6124	55.8378	13.3092	0.685136
6125	55.8403	13.3106	0.685136
6126	55.8411	13.3047	0.685136
6128	55.8397	13.2881	0.685136
6131	55.8369	13.3181	0.685136
6132	55.8386	13.3186	0.685136
6133	55.8364	13.2906	0.685136
6134	55.8383	13.2906	0.685136
6136	55.9336	13.5519	0.685136
6137	55.9419	13.5603	0.685136
6138	55.9403	13.5511	0.685136
6140	55.9392	13.5539	0.685136
6141	55.9414	13.5542	0.685136
6142	55.9428	13.5558	0.685136
6145	55.9497	13.5533	0.685136
6148	55.9319	13.5508	0.685136
6149	55.9281	13.5481	0.685136
6150	55.9261	13.5319	0.685136
6151	55.6528	13.2244	0.685136
6188	55.7683	14.1386	0.685136
6189	55.7686	14.1383	0.685136
6191	55.7689	14.1375	0.685136
6192	55.7692	14.1369	0.685136
6193	55.7694	14.1347	0.685136
6194	55.7706	14.1342	0.685136
6195	55.7708	14.1342	0.685136
6198	55.7708	14.1331	0.685136
6201	55.7719	14.1211	0.685136
6202	55.7717	14.1206	0.685136
6203	55.7714	14.1208	0.685136
6242	55.7	13.2	0.685136
6243	56.27373	13.90045	0.685136
6252	55.5796	14.3336	0.685136
6255	55.5796	14.334	0.685136
6258	55.5796	14.3336	0.685136
6268	55.5796	14.3336	0.685136
6276	55.5796	14.3336	0.685136
6284	55.5796	14.3336	0.685136
6296	49.2771	16.6314	1.004461
6390	49.2771	16.6314	1.004461
6396	49.2771	16.6314	1.004461
6413	56.06	13.97	0.685136
6424	49.3853	16.2544	1.004461
6434	49.3853	16.2544	1.004461
6445	49.3853	16.2544	1.004461
6680	51.85	6.4333	0.685136
6830	49.5	73.1	1.005068
6897	45	1.3	1.009429
6898	51.2167	4.4	0.685136
6903	49.4013	16.2326	1.004461
6904	49.2	16.6166	1.004461
6907	51.4083	-0.6383	1.005388
6908	51.4083	-0.6383	1.005388
6915	50.3	6.3	0.685136
6919	50.3	8	0.685136
6920	51.5338	9.9355	0.685136
6922	50.3	8	0.685136
6923	51.4083	-0.6383	1.005388
6924	51.4083	-0.6383	1.005388
6929	38.48	68.49	0.000000
6931	49.5	73.1	1.005068
6932	47.984	10.8719	0.929935
6933	41.59	2.49	0.929935
6938	55.7522	37.6322	1.004527
6940	50.3	8.3	0.685136
6943	51.4083	-0.6383	1.005388
6944	51.4083	-0.6383	1.005388
6945	52.24	4.45	0.685136
6951	49.42	16.36	1.004461
6956	49.42	16.36	1.004461
6957	49.42	16.36	1.004461
6958	46	3.3	0.929935
6959	48.5	-1.41	1.009429
6960	48.5	-1.41	1.009429
6961	38.3333	-3.53333	1.003946
6963	38.35	68.48	0.000000
6966	51.4083	-0.6383	1.005388
6967	51.4083	-0.6383	1.005388
6968	60	23.5	0.000000
6969	60	23.5	0.000000
6970	41.7194	2.93056	0.929935
6971	41.7194	2.93056	0.929935
6973	56.0648	13.9707	0.685136
6974	56.0648	13.9707	0.685136
6975	48.3	14.45	1.004461
6976	48.3	14.45	1.004461
6979	47.25	8.26	0.929935
6981	52.3	30	1.004527
6982	52.3	9.3	0.685136
6984	49.3853	16.2544	1.004461
6986	57.1539	-2.2207	1.005388
6987	48.0683	7.62551	0.929935
6989	54.8	-2.4333	1.005388
6990	53.448	5.73	0.685136
6992	50.3	5.3	0.685136
6997	51.8333	5.5833	0.685136
7000	50.9167	9.57073	0.685136
7002	51.3333	6.1	0.685136
7003	47.5	7.5	0.929935
7008	52	5.675	0.685136
7013	52.4584	13.287	0.685136
7014	56.5459	-4.79821	1.005388
7025	44.5041	11.3396	0.929935
7026	54.4	-3.2667	1.005388
7028	49.5166	9.3166	0.929935
7031	50.0167	8.6667	0.685136
7036	50.5	9.5	0.685136
7058	54.1	-6.2	1.005388
7061	53.2699	-1.64293	1.005388
7062	50.2981	8.26607	0.685136
7064	51.3	1.1	1.005388
7067	37.3	15	1.002928
7068	42	12.1	0.929935
7071	48.0717	1.33867	1.009429
7072	53.7502	34.7361	1.004527
7077	40.12	-8.25	1.009429
7081	40.2077	-8.42639	1.009429
7092	49.416	2.823	0.929935
7094	49.8724	8.65081	0.929935
7096	47.3239	5.04278	0.929935
7102	50.7224	8.2372	0.685136
7103	49.4167	16.2667	1.004461
7106	51.051	13.7336	0.685136
7107	54.7761	-1.5733	1.005388
7109	51.3	0.5	1.005388
7111	55.9494	-3.16028	1.005388
7117	51.5105	9.68253	0.685136
7119	50	8.5	0.685136
7120	50	8.5	0.685136
7125	49.5955	11.0087	0.929935
7127	58.6656	24.9871	1.004824
7130	44.6447	2.56481	0.929935
7133	50.1102	8.6822	0.685136
7138	50.5	8.0167	0.685136
7143	51.0167	5.86667	0.685136
7147	50.584	8.67825	0.685136
7158	47	15.5	1.004461
7161	53.5	10.5	0.685136
7162	52.24	9.44	0.685136
7163	52.3721	9.73569	0.685136
7164	55.675	12.5686	0.685136
7165	51.3472	8.28844	0.685136
7169	54.4175	9.88682	0.685136
7177	49	15	1.004461
7181	50.927	11.587	0.685136
7183	35	77	0.000000
7186	54.8969	23.8924	1.004824
7192	55.6395	-5.66364	1.005388
7199	50.95	6.9666	0.685136
7202	50.1797	8.50861	0.685136
7203	49.631	11.5722	0.929935
7208	55.6739	-3.78181	1.005388
7209	52.7333	15.2333	1.004824
7213	47.984	10.8719	0.929935
7217	48	0.5	1.009429
7218	52.1611	4.49015	0.685136
7223	50.3833	8.0666	0.685136
7231	50.3833	8.0666	0.685136
7244	50.001	8.26664	0.685136
7250	51.9183	10.1138	0.685136
7255	50.95	20.5	1.004824
7258	50.5	8.5	0.685136
7268	52.6969	10.981	0.685136
7273	51.0581	13.2995	0.685136
7276	50.2	8.5833	0.685136
7280	53.1667	8.2	0.685136
7282	50.3827	8.01161	0.685136
7287	53.3422	8.42255	0.685136
7296	59	29	1.004527
7298	47.04	10.51	0.929935
7305	53.476	10.6065	0.685136
7307	48.0653	-2.96591	1.009429
7314	54.3512	-3.41697	1.005388
7316	51.9667	5.56667	0.685136
7319	42	12.1	0.929935
7320	49.4424	1.09849	1.009429
7322	56.3	34	1.004527
7323	49	38.28	0.000000
7327	41.7833	3.03333	0.929935
7328	41.7833	3.03333	0.929935
7333	46.5438	11.5614	0.929935
7337	50.8738	8.02341	0.685136
7342	53.6473	-3.00733	1.005388
7343	52.5339	13.181	0.685136
7344	47.6667	9.5	0.929935
7346	52.6058	11.8558	0.685136
7347	52	36	1.004527
7349	49.5	14.5	1.004461
7353	52.08	4.3	0.685136
7354	56.5	14.9	1.004824
7372	47.0748	9.9042	0.929935
7378	48.0333	7.7667	0.929935
7382	52.0918	5.1145	0.685136
7384	52.0333	5.55	0.685136
7387	54.9902	-2.3671	1.005388
7394	52.3	21	1.004824
7396	52.3	30	1.004527
7404	52.6	10.0667	0.685136
7411	47.9299	10.8134	0.929935
7413	54.6833	25.3167	1.004824
7415	49.7878	9.9361	0.929935
7417	47.3667	8.55	0.929935
7418	47.3667	8.55	0.929935
7419	50.3058	8.32213	0.685136
7424	49.2	16.6166	1.004461
7430	48.6167	6.25	0.929935
7461	49	15	1.004461
7516	55.58	14.334	0.685136
7517	55.58	14.334	0.685136
7520	49.38	16.81	1.004461
7521	49.38	16.81	1.004461
8214	49	2	1.009429
8222	56.0328	14.775	1.004824
8230	56.68	16.5	1.004824
8231	56.3	16	1.004824
8234	56.4606	15.8127	1.004824
8235	48.8	17.1	1.004461
8236	49.33	15.76	1.004461
